epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,744.843,1.0187,1.83797,1.09954,1.01618,0.30789,0.46559,0.2319,0.1613,0.30603,0.4811,0.2289,0.14083,1.23151,2.25594,2.8471,1.20845,0.0011884,0.0011884,0.0011884
31,770.539,1.05731,1.8034,1.12898,1.02692,0.29137,0.48817,0.26023,0.18252,0.28927,0.52087,0.25413,0.16379,1.2211,2.25513,2.81292,1.20763,0.0011719,0.0011719,0.0011719
32,790.032,0.99024,1.86079,1.01566,0.99979,0.27286,0.57223,0.25658,0.18052,0.28617,0.5371,0.25528,0.16433,1.18569,2.21784,3.11318,1.19098,0.0011554,0.0011554,0.0011554
33,814.367,1.015,1.82927,1.06225,1.02171,0.35555,0.37634,0.25991,0.18194,0.35555,0.37634,0.25721,0.17066,1.20157,2.2098,3.02115,1.18626,0.00113889,0.00113889,0.00113889
34,837.474,1.03393,1.89976,1.09294,1.0401,0.30993,0.49301,0.27015,0.19448,0.31402,0.49839,0.26871,0.17929,1.21671,2.25175,2.92228,1.17344,0.00112239,0.00112239,0.00112239
35,860.179,0.9874,1.69587,1.05021,0.99744,0.30499,0.5125,0.28339,0.2035,0.30859,0.51787,0.27887,0.18752,1.20904,2.24701,3.1353,1.17011,0.00110589,0.00110589,0.00110589
36,887.621,1.00001,1.86471,1.02077,1.00393,0.32139,0.48172,0.30002,0.19879,0.32522,0.4871,0.29864,0.18287,1.22028,2.28984,2.8951,1.19379,0.00108938,0.00108938,0.00108938
37,911.81,1.02904,1.79784,1.04978,1.00587,0.34602,0.47695,0.30284,0.20416,0.35076,0.48655,0.30123,0.18888,1.24987,2.22661,2.78435,1.20878,0.00107288,0.00107288,0.00107288
38,935.913,1.04312,1.92529,1.0339,1.02354,0.31801,0.58623,0.28356,0.18322,0.31801,0.58623,0.28046,0.17053,1.23853,2.21686,3.00767,1.21069,0.00105638,0.00105638,0.00105638
39,958.252,0.93851,1.7904,0.99564,1.00068,0.32121,0.57527,0.27575,0.18457,0.31656,0.55323,0.26572,0.16885,1.23349,2.23015,3.25405,1.21802,0.00103987,0.00103987,0.00103987
